trial,t,flywire_id
0,0.0003,813395
0,0.0009,812483
0,0.0013,944434730
0,0.0016,806936
0,0.0018,27175
0,0.0020,944434730
0,0.0022,173930
0,0.0023,20828
0,0.0024,27973
0,0.0024,46382
0,0.0026,944434730
0,0.0029,530434
0,0.0049,30334
0,0.0054,26841
0,0.0054,83319
0,0.0060,27175
0,0.0064,144353
0,0.0069,144353
0,0.0077,944434730
0,0.0091,173930
0,0.0100,24358
0,0.0100,802236
0,0.0104,30334
0,0.0105,24358
0,0.0105,530434
0,0.0109,530434
0,0.0113,812549
0,0.0132,26841
0,0.0132,27973
0,0.0133,813395
0,0.0134,129315
0,0.0135,144353
0,0.0138,35131
0,0.0141,20828
0,0.0142,802236
0,0.0147,24358
0,0.0153,77607
0,0.0160,30334
0,0.0170,77607
0,0.0173,20828
0,0.0187,35131
0,0.0188,30334
0,0.0190,158640
0,0.0190,164118
0,0.0194,24358
0,0.0208,26841
0,0.0214,46382
0,0.0215,27175
0,0.0215,27973
0,0.0216,144353
0,0.0217,806936
0,0.0221,74879
0,0.0224,11883
0,0.0231,806936
0,0.0232,944434730
0,0.0236,26841
0,0.0236,77607
0,0.0243,24358
0,0.0245,30334
0,0.0254,74879
0,0.0256,129315
0,0.0262,944434730
0,0.0263,129315
0,0.0269,812483
0,0.0270,35131
0,0.0274,77607
0,0.0279,810609
0,0.0284,74879
0,0.0285,530434
0,0.0286,15279
0,0.0294,77607
0,0.0295,12423
0,0.0296,30334
0,0.0301,77607
0,0.0302,173930
0,0.0305,27175
0,0.0309,812549
0,0.0313,129315
0,0.0314,164118
0,0.0314,530434
0,0.0325,158640
0,0.0333,26619
0,0.0334,36536
0,0.0335,20828
0,0.0335,27973
0,0.0337,36536
0,0.0338,810609
0,0.0339,173930
0,0.0346,27175
0,0.0346,173930
0,0.0349,10353
0,0.0352,46382
0,0.0356,813395
0,0.0360,35131
0,0.0363,30334
0,0.0366,24358
0,0.0369,812549
0,0.0374,77607
0,0.0374,802236
0,0.0377,20828
0,0.0381,806936
0,0.0384,158640
0,0.0385,11654
0,0.0388,944434730
0,0.0390,158640
0,0.0392,22607
0,0.0396,26841
0,0.0403,14789
0,0.0407,21568
0,0.0409,16490
0,0.0410,164118
0,0.0417,129315
0,0.0431,17858
0,0.0434,15266
0,0.0434,46382
0,0.0444,74879
0,0.0445,144353
0,0.0446,158640
0,0.0448,129315
0,0.0449,22607
0,0.0452,10241
0,0.0453,27175
0,0.0458,11654
0,0.0460,10883
0,0.0462,30334
0,0.0462,812549
0,0.0463,27175
0,0.0465,46382
0,0.0468,11526
0,0.0468,28341
0,0.0471,24004
0,0.0471,26841
0,0.0477,810609
0,0.0478,173930
0,0.0480,30334
0,0.0482,35131
0,0.0482,812549
